time,实时发电_风电
2025-08-27 08:15:00,93.018
2025-08-27 08:30:00,84.293
2025-08-27 08:45:00,76.768
2025-08-27 09:00:00,72.195
2025-08-27 09:15:00,62.498
2025-08-27 09:30:00,54.423
2025-08-27 09:45:00,47.432
2025-08-27 10:00:00,42.805
2025-08-27 10:15:00,39.673
2025-08-27 10:30:00,35.095
2025-08-27 10:45:00,34.432
2025-08-27 11:00:00,34.57
2025-08-27 11:15:00,34.55
2025-08-27 11:30:00,33.092
2025-08-27 11:45:00,34.978
2025-08-27 12:00:00,35.778
2025-08-27 12:15:00,38.268
2025-08-27 12:30:00,45.545
2025-08-27 12:45:00,50.417
2025-08-27 13:00:00,59.37
2025-08-27 13:15:00,65.598
2025-08-27 13:30:00,70.73
2025-08-27 13:45:00,72.317
2025-08-27 14:00:00,73.98
2025-08-27 14:15:00,78.095
2025-08-27 14:30:00,86.71
2025-08-27 14:45:00,91.268
2025-08-27 15:00:00,92.967
2025-08-27 15:15:00,90.063
2025-08-27 15:30:00,102.25
2025-08-27 15:45:00,109.885
2025-08-27 16:00:00,119.6
2025-08-27 16:15:00,104.67
2025-08-27 16:30:00,108.622
2025-08-27 16:45:00,98.935
2025-08-27 17:00:00,113.378
2025-08-27 17:15:00,131.432
2025-08-27 17:30:00,132.05
2025-08-27 17:45:00,140.355
2025-08-27 18:00:00,138.12
2025-08-27 18:15:00,142.842
2025-08-27 18:30:00,164.315
2025-08-27 18:45:00,179.188
2025-08-27 19:00:00,181.85
2025-08-27 19:15:00,190.185
2025-08-27 19:30:00,196.67
2025-08-27 19:45:00,193.702
2025-08-27 20:00:00,210.84
2025-08-27 20:15:00,243.43
2025-08-27 20:30:00,275.085
2025-08-27 20:45:00,288.755
2025-08-27 21:00:00,279.908
2025-08-27 21:15:00,273.105
2025-08-27 21:30:00,288.885
2025-08-27 21:45:00,298.063
2025-08-27 22:00:00,322.2
2025-08-27 22:15:00,333.615
2025-08-27 22:30:00,331.078
2025-08-27 22:45:00,340.693
2025-08-27 23:00:00,350.948
2025-08-27 23:15:00,350.688
2025-08-27 23:30:00,344.978
2025-08-27 23:45:00,346.61
2025-08-28 00:00:00,349.805
2025-08-28 00:15:00,360.845
2025-08-28 00:30:00,367.888
2025-08-28 00:45:00,361.09
