time,实时发电_火电
2025-12-24 20:45:00,2568.291
2025-12-24 21:00:00,2616.217
2025-12-24 21:15:00,2636.522
2025-12-24 21:30:00,2610.476
2025-12-24 21:45:00,2619.028
2025-12-24 22:00:00,2521.159
2025-12-24 22:15:00,2284.292
2025-12-24 22:30:00,2125.585
2025-12-24 22:45:00,2054.154
2025-12-24 23:00:00,1911.492
2025-12-24 23:15:00,1812.755
2025-12-24 23:30:00,1703.492
2025-12-24 23:45:00,1677.571
2025-12-25 00:00:00,1715.56
2025-12-25 00:15:00,1842.531
2025-12-25 00:30:00,2018.596
2025-12-25 00:45:00,1936.83
2025-12-25 01:00:00,1874.283
2025-12-25 01:15:00,1851.595
2025-12-25 01:30:00,1739.409
2025-12-25 01:45:00,1660.975
2025-12-25 02:00:00,1635.641
2025-12-25 02:15:00,1557.5
2025-12-25 02:30:00,1557.5
2025-12-25 02:45:00,1557.5
2025-12-25 03:00:00,1557.5
2025-12-25 03:15:00,1557.5
2025-12-25 03:30:00,1557.5
2025-12-25 03:45:00,1561.624
2025-12-25 04:00:00,1565.48
2025-12-25 04:15:00,1557.5
2025-12-25 04:30:00,1564.623
2025-12-25 04:45:00,1557.5
2025-12-25 05:00:00,1557.5
2025-12-25 05:15:00,1557.5
2025-12-25 05:30:00,1557.5
2025-12-25 05:45:00,1557.5
2025-12-25 06:00:00,1557.5
2025-12-25 06:15:00,1557.5
2025-12-25 06:30:00,1650.222
2025-12-25 06:45:00,1771.261
2025-12-25 07:00:00,1866.786
2025-12-25 07:15:00,1957.54
2025-12-25 07:30:00,2126.376
2025-12-25 07:45:00,2213.919
2025-12-25 08:00:00,2269.496
2025-12-25 08:15:00,2382.304
2025-12-25 08:30:00,2358.606
2025-12-25 08:45:00,2359.283
2025-12-25 09:00:00,2282.909
2025-12-25 09:15:00,2035.506
2025-12-25 09:30:00,1912.965
2025-12-25 09:45:00,1889.272
2025-12-25 10:00:00,1760.35
2025-12-25 10:15:00,1737.314
2025-12-25 10:30:00,1721.748
2025-12-25 10:45:00,1661.38
2025-12-25 11:00:00,1561.541
2025-12-25 11:15:00,1557.5
2025-12-25 11:30:00,1557.5
2025-12-25 11:45:00,1557.5
2025-12-25 12:00:00,1557.5
2025-12-25 12:15:00,1564.203
2025-12-25 12:30:00,1557.5
2025-12-25 12:45:00,1557.5
2025-12-25 13:00:00,1557.5
2025-12-25 13:15:00,1557.5
2025-12-25 13:30:00,1557.5
2025-12-25 13:45:00,1557.5
2025-12-25 14:00:00,1557.5
2025-12-25 14:15:00,1557.5
2025-12-25 14:30:00,1557.5
2025-12-25 14:45:00,1557.5
2025-12-25 15:00:00,1559.578
2025-12-25 15:15:00,1622.153
2025-12-25 15:30:00,1721.998
2025-12-25 15:45:00,1958.699
2025-12-25 16:00:00,2167.657
2025-12-25 16:15:00,2410.559
2025-12-25 16:30:00,2805.173
2025-12-25 16:45:00,2783.144
2025-12-25 17:00:00,2671.595
2025-12-25 17:15:00,2580.42
2025-12-25 17:30:00,2250.547
2025-12-25 17:45:00,2266.055
2025-12-25 18:00:00,2279.77
2025-12-25 18:15:00,2266.009
2025-12-25 18:30:00,2236.386
2025-12-25 18:45:00,2238.483
2025-12-25 19:00:00,2292.086
2025-12-25 19:15:00,2242.072
2025-12-25 19:30:00,2291.885
2025-12-25 19:45:00,2335.103
2025-12-25 20:00:00,2363.553
2025-12-25 20:15:00,2316.133
2025-12-25 20:30:00,2408.609
2025-12-25 20:45:00,2373.481
2025-12-25 21:00:00,2372.411
2025-12-25 21:15:00,2384.774
2025-12-25 21:30:00,2487.572
2025-12-25 21:45:00,2436.356
2025-12-25 22:00:00,2445.668
2025-12-25 22:15:00,2305.366
2025-12-25 22:30:00,2293.454
2025-12-25 22:45:00,2125.215
2025-12-25 23:00:00,2013.542
2025-12-25 23:15:00,1876.098
2025-12-25 23:30:00,1815.959
2025-12-25 23:45:00,1774.676
2025-12-26 00:00:00,2114.346
2025-12-26 00:15:00,2222.189
2025-12-26 00:30:00,2256.068
2025-12-26 00:45:00,2168.11
2025-12-26 01:00:00,2030.004
2025-12-26 01:15:00,1978.669
2025-12-26 01:30:00,1957.098
2025-12-26 01:45:00,1882.923
2025-12-26 02:00:00,1861.444
2025-12-26 02:15:00,1876.421
2025-12-26 02:30:00,1991.932
2025-12-26 02:45:00,2106.268
2025-12-26 03:00:00,2057.452
2025-12-26 03:15:00,2064.341
2025-12-26 03:30:00,2042.5
2025-12-26 03:45:00,2041.63
2025-12-26 04:00:00,2038.513
2025-12-26 04:15:00,2035.228
2025-12-26 04:30:00,1818.947
2025-12-26 04:45:00,1686.315
2025-12-26 05:00:00,1664.141
2025-12-26 05:15:00,1733.646
2025-12-26 05:30:00,1799.66
