time,实时出清价格
2025-11-05 22:15:00,300.258545
2025-11-05 22:30:00,298.142883
2025-11-05 22:45:00,296.120819
2025-11-05 23:00:00,300.000092
2025-11-05 23:15:00,294.000061
2025-11-05 23:30:00,211.000031
2025-11-05 23:45:00,239.999985
2025-11-06 00:00:00,302.84671
2025-11-06 00:15:00,320.251984
2025-11-06 00:30:00,318.162659
2025-11-06 00:45:00,318.118622
2025-11-06 01:00:00,332.013428
2025-11-06 01:15:00,347.239838
2025-11-06 01:30:00,347.23999
2025-11-06 01:45:00,347.239899
2025-11-06 02:00:00,340.000031
2025-11-06 02:15:00,337.999908
2025-11-06 02:30:00,334.999908
2025-11-06 02:45:00,336.0
2025-11-06 03:00:00,333.999969
2025-11-06 03:15:00,332.000092
2025-11-06 03:30:00,327.239899
2025-11-06 03:45:00,327.239807
2025-11-06 04:00:00,327.23996
2025-11-06 04:15:00,327.23999
2025-11-06 04:30:00,327.239899
2025-11-06 04:45:00,327.240082
2025-11-06 05:00:00,327.239807
2025-11-06 05:15:00,327.23999
2025-11-06 05:30:00,332.000061
2025-11-06 05:45:00,334.000061
2025-11-06 06:00:00,350.000031
2025-11-06 06:15:00,375.265106
2025-11-06 06:30:00,367.065063
2025-11-06 06:45:00,374.009857
2025-11-06 07:00:00,456.898895
2025-11-06 07:15:00,493.108185
2025-11-06 07:30:00,540.754456
2025-11-06 07:45:00,567.713562
2025-11-06 08:00:00,603.278076
2025-11-06 08:15:00,535.652161
2025-11-06 08:30:00,534.999817
2025-11-06 08:45:00,518.123657
2025-11-06 09:00:00,429.332855
2025-11-06 09:15:00,388.59314
2025-11-06 09:30:00,370.628906
2025-11-06 09:45:00,388.599304
2025-11-06 10:00:00,341.565399
2025-11-06 10:15:00,348.689789
2025-11-06 10:30:00,348.678009
2025-11-06 10:45:00,341.141205
2025-11-06 11:00:00,336.976807
2025-11-06 11:15:00,333.033447
2025-11-06 11:30:00,321.186707
2025-11-06 11:45:00,319.031433
2025-11-06 12:00:00,328.372955
2025-11-06 12:15:00,330.892181
2025-11-06 12:30:00,328.223999
2025-11-06 12:45:00,328.338287
2025-11-06 13:00:00,332.828033
2025-11-06 13:15:00,332.797058
2025-11-06 13:30:00,336.708527
2025-11-06 13:45:00,334.721649
2025-11-06 14:00:00,336.553009
2025-11-06 14:15:00,337.609375
2025-11-06 14:30:00,338.563293
2025-11-06 14:45:00,347.632507
2025-11-06 15:00:00,356.345398
2025-11-06 15:15:00,360.408722
2025-11-06 15:30:00,367.661469
2025-11-06 15:45:00,375.466949
2025-11-06 16:00:00,387.325409
2025-11-06 16:15:00,484.147888
2025-11-06 16:30:00,420.194122
2025-11-06 16:45:00,375.579895
2025-11-06 17:00:00,367.59375
2025-11-06 17:15:00,367.610443
2025-11-06 17:30:00,367.481842
2025-11-06 17:45:00,356.348877
2025-11-06 18:00:00,350.596863
2025-11-06 18:15:00,333.444336
2025-11-06 18:30:00,329.966614
2025-11-06 18:45:00,326.01001
